Faits;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;2A;2B;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
Règlements de compte entre malfaiteurs;1;2;0;2;0;3;1;1;0;0;2;0;16;1;0;1;2;0;3;0;3;0;0;1;2;0;0;4;2;3;2;3;0;3;1;1;0;0;4;0;1;1;0;0;0;2;0;0;0;1;1;0;0;0;1;0;2;3;0;1;0;0;2;2;0;0;1;0;1;4;0;0;0;1;1;1;2;3;2;4;1;0;0;10;2;0;0;1;1;0;1;2;3;2;0;2
Homicides pour voler et à l'occasion de vols;1;0;0;0;0;1;0;1;1;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Homicides pour d'autres motifs;4;6;3;1;0;22;5;1;4;2;6;2;31;6;0;9;9;4;1;6;6;0;0;7;6;4;4;3;11;7;4;12;1;20;21;3;0;3;16;3;4;7;4;0;10;10;7;5;1;2;6;5;0;1;3;2;5;12;1;20;9;2;14;6;2;1;7;16;9;20;3;7;2;6;10;28;10;12;6;3;8;2;3;15;4;8;2;2;4;4;2;10;10;20;11;7
Tentatives d'homicides pour voler et à l'occasion de vols;1;0;0;0;0;1;0;0;0;0;1;0;5;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;2;1;1;1;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;1;2;4;0;0;0;0;0;5;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;5;7;3;0
Tentatives homicides pour d'autres motifs;13;5;5;0;0;26;2;3;2;2;1;1;64;7;1;3;11;1;0;13;1;0;7;8;8;4;5;8;9;10;16;14;0;21;30;5;1;7;14;2;8;3;18;1;15;7;4;8;0;8;4;6;1;3;10;1;3;8;1;24;9;5;15;3;2;5;5;7;9;25;3;7;2;3;4;88;16;25;22;7;7;2;7;17;7;5;1;2;6;8;0;52;29;47;42;42
Coups et blessures volontaires suivis de mort;4;4;2;0;1;8;1;1;0;4;4;0;6;0;0;0;5;1;0;0;2;0;0;0;1;1;0;3;2;1;4;4;0;4;2;2;1;0;0;3;2;0;0;1;5;3;0;0;0;1;0;1;1;2;3;1;1;3;0;9;1;1;11;2;0;0;2;1;0;4;1;0;2;3;2;12;5;5;4;1;3;0;0;1;2;0;2;1;1;2;0;2;1;1;3;2
Autres coups et blessures volontaires criminels ou correctionnels;1 149;2 040;662;320;201;4 518;606;884;303;983;785;465;7 197;1 794;161;783;1 355;669;449;1 072;1 134;184;658;1 393;1 340;2 026;1 108;2 162;283;303;2 276;3 336;311;4 149;3 136;2 176;422;1 204;3 152;430;708;678;1 656;310;2 918;1 932;293;710;132;1 541;926;1 883;583;515;2 042;419;1 460;2 769;587;11 076;2 841;674;6 985;1 424;1 111;438;1 349;2 720;2 134;6 592;534;1 070;1 359;1 193;1 958;10 502;4 431;4 837;3 627;638;2 209;646;561;2 894;1 420;913;724;791;836;1 126;418;4 628;4 096;9 240;5 098;5 203
Prises d'otages à l'occasion de vols;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1
Prises d'otages dans un autre but;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;0
