Faits;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;2A;2B;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
Règlements de compte entre malfaiteurs;1;6;0;0;0;0;0;1;0;0;0;0;15;0;0;0;1;0;0;0;0;0;1;1;1;0;0;4;1;0;3;0;0;0;2;1;1;0;2;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;5;0;1;0;0;0;4;1;1;0;2;0;2;0;0;5;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;2;0;3;0;1;1;4;2;2;1
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;2;1;0;2
Homicides pour d'autres motifs;3;6;3;2;1;22;5;5;1;0;2;1;32;7;0;7;8;2;1;3;2;2;4;5;11;2;6;5;7;2;7;22;0;23;16;9;1;5;12;1;6;1;3;1;5;3;1;6;0;7;5;5;1;1;9;0;7;14;6;25;16;3;21;2;6;2;10;11;11;16;1;4;1;3;4;24;16;13;13;2;5;3;3;17;10;8;4;2;7;3;1;7;15;25;20;8
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4;1;0;1;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;3;0;7;2;0
Tentatives homicides pour d'autres motifs;6;3;1;3;2;12;2;2;0;1;5;1;37;13;1;5;2;0;2;9;7;0;7;8;6;14;6;18;16;13;14;17;2;15;15;3;1;7;19;2;5;0;14;2;14;7;3;2;0;16;2;9;4;0;9;0;3;6;6;25;20;1;20;7;10;1;9;30;7;51;2;3;6;11;14;87;9;22;21;4;6;2;4;20;9;6;4;7;3;3;6;47;36;59;25;15
Coups et blessures volontaires suivis de mort;2;3;0;0;0;6;1;2;0;1;1;0;8;0;0;1;4;1;0;2;1;1;1;0;3;3;0;4;0;0;4;5;1;2;2;4;0;2;4;0;1;0;1;0;3;3;0;1;0;0;0;1;0;0;1;0;2;3;0;11;6;1;18;2;2;0;2;2;2;1;1;1;1;0;0;10;1;1;3;0;6;0;0;1;2;1;2;0;2;2;0;4;1;4;2;5
Autres coups et blessures volontaires criminels ou correctionnels;982;1 445;567;278;219;3 852;522;723;258;844;726;332;6 011;1 588;166;540;1 304;548;405;991;1 078;146;501;1 330;1 233;1 666;1 108;2 028;238;337;2 280;2 973;290;3 581;2 815;1 908;444;1 041;2 690;461;613;661;1 409;259;2 762;1 763;257;572;135;1 240;791;1 756;526;469;2 017;350;1 220;2 465;516;8 912;2 699;555;5 470;1 127;854;374;1 217;2 796;2 040;5 906;486;945;937;1 131;1 647;9 107;3 332;4 167;3 378;571;1 908;648;526;2 817;1 053;719;598;726;808;945;407;4 226;4 275;7 821;4 051;4 948
Prises d'otages à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;2;0;1;0;0;1;1;1;0;1;4;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;3;1;0;0;0;0;2;0;0;1;0;2;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
Prises d'otages dans un autre but;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;5;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
