Faits;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;2A;2B;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
Règlements de compte entre malfaiteurs;0;1;3;0;0;4;0;1;1;0;2;1;14;0;0;1;1;0;0;1;2;0;0;0;2;4;0;0;3;1;4;1;0;5;3;0;0;0;11;0;1;0;1;0;1;1;0;1;0;2;0;0;0;0;0;0;0;1;0;2;8;0;3;1;0;0;3;3;1;3;0;0;0;2;0;1;1;4;1;0;0;0;0;2;0;2;0;0;1;1;0;1;2;3;0;2
Homicides pour voler et à l'occasion de vols;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;3;0;0;0;0;0;2;3;1;0;0;1;1;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;2;0;2;0;1;0;0;0;0;2;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;3;2
Homicides pour d'autres motifs;8;11;7;3;0;28;1;4;4;2;8;6;48;9;0;3;7;0;2;4;5;0;6;8;14;5;5;4;7;9;12;9;0;23;16;8;5;8;13;0;3;1;5;0;12;11;2;6;0;5;3;7;1;4;7;2;13;11;11;29;12;3;23;5;2;2;9;22;10;21;5;3;6;4;14;26;9;13;14;5;7;3;1;23;8;1;3;4;1;3;1;14;34;42;16;21
Tentatives d'homicides pour voler et à l'occasion de vols;1;1;1;1;0;3;1;0;1;0;0;0;8;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;3;1;0;3;0;0;3;2;0;0;0;5;0;1;2;0;1;0;1;1;3;0;0;0;0;0;0;0;3;3;0;0;0;0;0;1;2;1;2;2;0;0;0;2;7;1;8;2;0;0;0;1;2;0;0;1;0;2;0;0;4;1;5;6;5
Tentatives homicides pour d'autres motifs;3;7;10;9;1;34;1;1;2;2;7;9;59;7;1;7;10;3;0;13;2;1;4;9;6;7;15;9;4;10;20;13;1;25;31;2;1;7;29;4;7;3;16;1;13;6;5;1;0;1;4;12;2;2;9;1;6;9;5;50;17;0;34;7;1;7;11;20;2;21;15;4;11;2;12;59;7;43;31;2;5;10;5;18;11;2;3;6;4;6;3;49;65;86;42;28
Coups et blessures volontaires suivis de mort;1;3;0;0;0;4;1;0;0;1;4;1;3;0;0;0;1;1;1;1;3;1;2;3;0;1;0;1;0;0;6;0;0;3;2;3;1;2;0;0;1;0;0;0;2;3;0;2;1;0;1;1;0;1;0;0;2;1;2;12;3;1;11;1;0;0;1;6;1;5;1;0;1;1;2;14;3;3;6;0;3;1;0;6;9;1;0;0;1;0;0;2;2;5;1;3
Autres coups et blessures volontaires criminels ou correctionnels;871;1 138;440;253;191;2 739;464;620;210;810;590;215;4 037;1 369;91;434;945;584;255;986;827;156;335;1 184;1 119;1 146;839;1 569;180;419;1 294;2 010;161;2 251;1 908;1 326;339;866;1 951;357;428;421;1 233;216;2 078;1 460;155;472;81;1 029;645;1 501;320;351;1 479;308;909;2 203;408;6 416;2 479;398;3 292;885;691;335;1 075;2 866;1 780;4 333;469;646;777;636;1 176;5 297;2 619;3 296;3 088;240;1 302;442;330;2 568;865;640;327;535;630;764;393;3 326;3 650;6 219;2 969;4 211
Prises d'otages à l'occasion de vols;1;1;0;0;0;3;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;2;1;1;1;0;0;1;1;0;0;2;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;1;0;1;0;0;2;0;2;0;1;0;1;1;3;1;0;2;0;0;0;1;3;0;0;0;0;0;0;0;3;2;2;0;1
Prises d'otages dans un autre but;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;1;0;0;0;0;3;1;0;0;0;1;0;0;1;0;3;0;2
