Faits;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;2A;2B;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
Règlements de compte entre malfaiteurs;4;1;1;0;0;4;1;0;0;1;0;1;12;0;0;0;0;1;0;0;0;0;0;1;3;0;0;1;0;1;3;2;0;5;5;1;0;1;3;0;1;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;2;0;1;0;2;4;0;3;0;0;0;2;0;5;0;2;0;0;1;0;1;3;2;2;0;0;0;0;0;1;0;1;2;3
Homicides pour voler et à l'occasion de vols;2;1;0;0;0;5;0;0;0;1;0;2;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;4;1;0;2;0;1;0;1;2;0;0;0;0;0;0;0;2;0;2;3;2
Homicides pour d'autres motifs;2;6;2;4;1;24;3;8;0;3;7;3;41;7;1;3;7;2;5;1;2;1;4;5;3;11;6;8;14;6;13;12;0;25;22;6;4;5;15;4;7;1;5;1;4;15;2;3;1;6;0;7;1;1;20;2;5;10;5;33;15;4;27;3;3;2;4;9;8;17;1;4;3;5;4;43;7;7;10;1;6;4;4;17;11;3;7;3;2;3;4;11;18;41;17;10
Tentatives d'homicides pour voler et à l'occasion de vols;0;2;0;0;0;0;0;0;0;2;0;0;8;0;0;1;0;0;0;1;0;0;0;1;0;3;0;0;0;1;1;4;0;4;1;0;0;0;1;0;1;0;0;0;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;0;1;1;3;0;0;0;0;3;4;2;5;0;0;1;3;1;5;2;4;0;1;0;0;0;7;0;4;3;2
Tentatives homicides pour d'autres motifs;9;22;2;3;1;20;1;2;2;9;8;5;42;11;1;11;7;1;7;12;5;2;5;7;6;6;6;9;11;7;7;17;0;30;19;10;3;7;22;2;1;6;17;0;13;7;2;0;1;4;4;8;4;4;9;1;9;11;2;45;10;4;20;8;4;2;18;8;3;25;4;7;5;5;11;42;15;39;28;2;13;1;2;12;9;6;3;11;6;4;1;42;47;89;47;34
Coups et blessures volontaires suivis de mort;1;1;2;0;0;5;0;2;0;1;1;0;13;2;0;1;0;0;2;1;1;0;0;2;1;4;0;5;0;0;4;4;0;5;2;0;0;4;1;1;0;1;2;0;7;2;0;2;0;1;3;0;2;0;5;1;2;5;0;9;3;1;7;1;0;1;5;3;5;3;0;1;1;0;0;10;2;4;2;1;3;0;0;5;1;0;1;1;1;1;1;4;3;7;7;1
Autres coups et blessures volontaires criminels ou correctionnels;890;1 253;489;256;230;3 055;423;733;203;857;656;251;4 538;1 403;114;446;1 104;588;268;1 006;884;140;392;1 252;1 102;1 193;946;1 515;244;412;1 517;2 342;219;2 427;1 972;1 566;332;915;2 252;405;471;407;1 244;266;2 295;1 511;176;453;80;1 039;600;1 625;386;395;1 607;330;977;2 231;473;7 239;2 307;403;3 676;840;683;307;1 232;2 510;1 984;5 012;414;725;868;711;1 297;5 675;3 058;3 500;3 175;327;1 322;476;392;2 330;912;683;417;539;657;757;485;3 654;4 195;6 935;3 538;4 203
Prises d'otages à l'occasion de vols;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;2;0;1;0;0;0;0;1;0;1;0;0;0;0;1;2;0;3;3;0;0;0;0;3;0;0;0;0;0;0;0;1;2;4;2;0
Prises d'otages dans un autre but;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;2;2
